Português (Brasil);English;Español
O que você deseja fazer?;What do you want to do?;¿Qué es lo que quieres hacer?
ocorrências;occurrence;ocurrencias
Ocupa maior espaço, mas é mais legível (menos confuso).;It takes up more space, but is more readable (less confusing).;Ocupa más espacio, pero es más legible (menos confuso).
Opção 1;Option 1;Opción 1
Opção 2;Option 2;Opcion 2
Operação;Operation;Operación
OPERAÇÃO;OPERATION;OPERACIÓN
Operação Compressor;Operation Compressor;Operación Compresor
Operação de Iluminação;Operation Lighting;Operación de Iluminación
Operacional;Operational;Operacional
Ordenar campo 1;Sort ascending 1;Ordenar campo 1
Ordenar campo 2;Sort ascending 2;Ordenar campo 2
Ordenar campo 3;Sort ascending 3;Ordenar campo 3
Ordenar campo 4;Sort ascending 4;Ordenar campo 4
Orientação;Guidance;Dirección
Padrão de comando;Command pattern;Estándar de mando
Padrão de recorrência;Recurrence pattern;Estándar de recurrencia
Para destacar conexões entre áreas e entre conjuntos de elementos.;To highlight connections between areas and between sets of elements.;Para resaltar conexiones entre áreas y entre conjuntos de elementos.
Para destacar conexões entre elementos individuais.;To highlight connections between individual elements.;Para resaltar conexiones entre elementos individuales.
Para representar áreas muito extensas e arquiteturas complexas.;To represent very large areas and complex architectures.;Representar áreas muy grandes y arquitecturas complejas.
Para representar pequenas áreas com poucos elementos.;To represent small areas with few elements.;Representar áreas pequeñas con pocos elementos.
